Title; MainImagePath; DurationInSeconds; Cost; Discount
Занятие с репетитором-носителем китайского языка; Услуги школы\Китайский язык.jpg; 7200; 1950 ; 0
Индивидуальный урок немецкого языка с преподавателем-носителем языка; Услуги школы\Немецкий язык.png; 6600; 1340; 0
Киноклуб китайского языка для студентов; Услуги школы\киноклуб.jpg; 6000; 1990 ; 0
Индивидуальный онлайн-урок японского языка по Skype; Услуги школы\online lessons.jpg; 4800 ; 1000 ; 20
Киноклуб испанского языка для студентов; Услуги школы\киноклуб.jpg; 2400; 1050 ; 10
Занятие с русскоязычным репетитором испанского языка; Услуги школы\Испанский язык.jpg; 3000; 1450 ; 15
Урок в группе итальянского языка для взрослых; Услуги школы\Итальянский язык.jpg; 2400; 1290 ; 0
Интенсивный онлайн-курс французского языка для компаний по Skype; Услуги школы\online lessons.jpg; 2400 ; 1180; 10
Индивидуальный урок французского языка с преподавателем-носителем языка; Услуги школы\Французский язык.jpg; 2400 ; 1410; 20
Урок в группе французского языка для школьников; Услуги школы\Французский язык.jpg; 6000 ; 1970 ; 0
Занятие с репетитором-носителем английского языка; Услуги школы\Английский язык.jpg; 6600 ; 910 ; 0
Киноклуб французского языка для взрослых; Услуги школы\киноклуб.jpg; 5400 ; 1770 ; 10
Киноклуб немецкого языка для взрослых; Услуги школы\киноклуб.jpg; 6000; 1560; 10
Урок в группе японского языка для школьников; Услуги школы\Японский язык.jpg; 4800; 1300 ; 5
Индивидуальный урок испанского языка с русскоязычным преподавателем; Услуги школы\Испанский язык.jpg; 3600; 1790; 15
Интенсивный онлайн-курс итальянского языка для компаний по Skype; Услуги школы\online lessons.jpg; 4200 ; 1230 ; 10
Урок в группе японского языка для студентов; Услуги школы\Японский язык.jpg; 3000 ; 1860 ; 0
Интенсивный курс с преподавателем-носителем английского языка для компаний; Услуги школы\for company.jpg; 6600; 1670 ; 10
Киноклуб итальянского языка для студентов; Услуги школы\киноклуб.jpg; 1800; 1760; 0
Урок в группе испанского языка для взрослых; Услуги школы\Испанский язык.jpg; 1800 ; 1730 ; 5
Урок в группе испанского языка для студентов; Услуги школы\Испанский язык.jpg; 6000; 1310; 20
Интенсивный онлайн-курс испанского языка для компаний по Skype; Услуги школы\online lessons.jpg; 11200; 1510; 0
Урок в группе английского языка для школьников; Услуги школы\Английский язык.jpg; 6600 ; 900; 0
Занятие с репетитором-носителем испанского языка; Услуги школы\Испанский язык.jpg; 3000 ; 1090; 5
Интенсивный курс с преподавателем-носителем итальянского языка для компаний; Услуги школы\for company.jpg; 2400 ; 1190; 20
Урок в группе китайского языка для студентов; Услуги школы\Китайский язык.jpg; 2400 ; 2000 ; 20
Индивидуальный урок испанского языка с преподавателем-носителем языка; Услуги школы\Испанский язык.jpg; 5400; 1200; 10
Интенсивный онлайн-курс португальского языка для компаний по Skype; Услуги школы\online lessons.jpg; 4200; 1610 ; 5
Подготовка к экзамену ACT; Услуги школы\Подготовка к экзамену ACT.png; 3000; 1440 ; 0
Урок в группе китайского языка для взрослых; Услуги школы\Китайский язык.jpg; 4200 ; 1730; 25
Интенсивный онлайн-курс английского языка для компаний по Skype; Услуги школы\online lessons.jpg; 3000 ; 1160; 0
Подготовка к экзамену TOEFL; Услуги школы\Подготовка к экзамену TOEFL.jpg; 6000 ; 1070; 5
Занятие с репетитором-носителем итальянского языка; Услуги школы\Итальянский язык.jpg; 7200 ; 1370; 5
Урок в группе английского языка для взрослых; Услуги школы\Английский язык.jpg; 3000 ; 1010; 25
Киноклуб английского языка для взрослых; Услуги школы\киноклуб.jpg; 4200; 1250; 5
Интенсивный курс с преподавателем-носителем французского языка для компаний; Услуги школы\for company.jpg; 4200; 1630; 15
